ID;Reason for absence;Month of absence;Day of the week;Seasons;Transportation expense;Distance from Residence to Faculty;Study time;Age;Study load Average/day ;Hit target;Disciplinary failure;Education;Son;Social drinker;Social smoker;Pet;Weight;Height;Body mass index;Email;absenteeism per session
34;23;10;3;4;118;10;10;22;253.465;93;0;1;0;0;0;0;83;172;28;fbzbe318@esprit.com;3
36;0;10;4;4;118;13;18;29;253.465;93;1;1;1;1;0;0;98;178;31;31otddsy@esprit.com;0
22;23;10;5;4;179;26;9;19;253.465;93;0;3;0;0;0;0;56;171;19;k9n6o8md@esprit.com;1
3;23;10;6;4;179;51;18;23;253.465;93;0;1;0;1;0;0;89;170;31;2farue8s@esprit.com;3
28;23;10;6;4;225;26;9;18;253.465;93;0;1;1;0;0;2;69;169;24;qfa1ikn5@esprit.com;3
34;23;10;3;4;118;10;10;22;253.465;93;0;1;0;0;0;0;83;172;28;ur7xh3fi@esprit.com;3
28;23;10;4;4;225;26;9;18;253.465;93;0;1;1;0;0;2;69;169;24;yulh1mu9@esprit.com;2
33;23;10;4;4;248;25;14;27;253.465;93;0;1;2;0;0;1;86;165;32;uunkojg5@esprit.com;2
15;23;10;5;4;291;31;12;24;253.465;93;0;1;1;1;0;1;73;171;25;ff66sdit@esprit.com;5
3;23;10;4;4;179;51;18;23;253.465;93;0;1;0;1;0;0;89;170;31;oghwe262@esprit.com;8
28;23;10;4;4;225;26;9;18;253.465;93;0;1;1;0;0;2;69;169;24;p0n5whvz@esprit.com;3
20;19;10;5;4;260;50;11;22;253.465;93;0;1;4;1;0;0;65;168;23;hcb4wl35@esprit.com;16
15;14;10;3;4;291;31;12;24;253.465;93;0;1;1;1;0;1;73;171;25;dnhawkhg@esprit.com;8
28;28;10;3;4;225;26;9;18;253.465;93;0;1;1;0;0;2;69;169;24;t080ehtw@esprit.com;2
11;26;10;4;4;289;36;13;20;253.465;93;0;1;2;1;0;1;90;172;30;n6jgfynt@esprit.com;8
10;23;10;6;4;361;52;3;18;253.465;93;0;1;1;1;0;4;80;172;27;1oi7519z@esprit.com;1
20;28;10;6;4;260;50;11;22;253.465;93;0;1;4;1;0;0;65;168;23;tnumrc7v@esprit.com;3
3;23;11;5;4;179;51;18;23;306.345;93;0;1;0;1;0;0;89;170;31;5rkwo90y@esprit.com;1
28;23;11;4;4;225;26;9;18;306.345;93;0;1;1;0;0;2;69;169;24;dd85m86g@esprit.com;1
3;13;11;5;4;179;51;18;23;306.345;93;0;1;0;1;0;0;89;170;31;pgkf2pzh@esprit.com;8
17;21;11;5;4;179;22;17;24;306.345;93;0;2;2;0;1;0;63;170;22;km38veji@esprit.com;8
15;23;11;5;4;291;31;12;24;306.345;93;0;1;1;1;0;1;73;171;25;wj54shzl@esprit.com;5
14;10;11;2;4;155;12;14;21;306.345;93;0;1;2;1;0;0;95;196;25;k8alkgk7@esprit.com;32
6;22;11;2;4;189;29;13;20;306.345;93;0;1;2;0;0;2;69;167;25;tgy535on@esprit.com;8
15;14;11;2;4;291;31;12;24;306.345;93;0;1;1;1;0;1;73;171;25;mfmdbbvs@esprit.com;40
28;23;11;4;4;225;26;9;18;306.345;93;0;1;1;0;0;2;69;169;24;4jm82gry@esprit.com;1
14;6;11;6;4;155;12;14;21;306.345;93;0;1;2;1;0;0;95;196;25;nfmgfc02@esprit.com;8
28;23;11;4;4;225;26;9;18;306.345;93;0;1;1;0;0;2;69;169;24;wirf9oyb@esprit.com;3
17;21;11;4;4;179;22;17;24;306.345;93;0;2;2;0;1;0;63;170;22;509apqda@esprit.com;8
28;13;11;6;4;225;26;9;18;306.345;93;0;1;1;0;0;2;69;169;24;y3mdmqnj@esprit.com;3
20;28;11;6;4;260;50;11;22;306.345;93;0;1;4;1;0;0;65;168;23;qyajljo7@esprit.com;4
33;28;11;2;4;248;25;14;27;306.345;93;0;1;2;0;0;1;86;165;32;4tx06x4t@esprit.com;1
28;28;11;3;4;225;26;9;18;306.345;93;0;1;1;0;0;2;69;169;24;0bh933p9@esprit.com;3
11;7;11;4;4;289;36;13;20;306.345;93;0;1;2;1;0;1;90;172;30;0uh6q8z8@esprit.com;24
15;23;11;5;4;291;31;12;24;306.345;93;0;1;1;1;0;1;73;171;25;0l9h1vki@esprit.com;3
33;23;12;3;4;248;25;14;27;261.306;97;0;1;2;0;0;1;86;165;32;muz1n642@esprit.com;1
34;19;12;3;4;118;10;10;22;261.306;97;0;1;0;0;0;0;83;172;28;5hcyzirc@esprit.com;64
36;23;12;4;4;118;13;18;29;261.306;97;0;1;1;1;0;0;98;178;31;z4d20q22@esprit.com;2
1;26;12;4;4;235;11;14;22;261.306;97;0;3;1;0;0;1;88;172;29;210j6olu@esprit.com;8
28;23;12;5;4;225;26;9;18;261.306;97;0;1;1;0;0;2;69;169;24;3kjhg5zn@esprit.com;2
20;26;12;6;4;260;50;11;22;261.306;97;0;1;4;1;0;0;65;168;23;eo51slbj@esprit.com;8
34;19;12;3;4;118;10;10;22;261.306;97;0;1;0;0;0;0;83;172;28;tfnazof2@esprit.com;56
10;22;12;4;4;361;52;3;18;261.306;97;0;1;1;1;0;4;80;172;27;poshhpsn@esprit.com;8
28;28;12;5;4;225;26;9;18;261.306;97;0;1;1;0;0;2;69;169;24;knf8m51k@esprit.com;3
20;28;12;6;4;260;50;11;22;261.306;97;0;1;4;1;0;0;65;168;23;pp54qqd0@esprit.com;3
28;23;12;3;4;225;26;9;18;261.306;97;0;1;1;0;0;2;69;169;24;evg67b3l@esprit.com;2
10;22;12;4;4;361;52;3;18;261.306;97;0;1;1;1;0;4;80;172;27;xwuz2g4o@esprit.com;8
34;27;12;6;4;118;10;10;22;261.306;97;0;1;0;0;0;0;83;172;28;idruvjnk@esprit.com;2
24;19;12;6;2;246;25;16;24;261.306;97;0;1;0;1;0;0;67;170;23;f0vrnpp4@esprit.com;8
28;23;12;6;2;225;26;9;18;261.306;97;0;1;1;0;0;2;69;169;24;vbj85ghs@esprit.com;2
28;23;1;4;2;225;26;9;18;308.593;95;0;1;1;0;0;2;69;169;24;9muekod1@esprit.com;1
34;19;1;2;2;118;10;10;22;308.593;95;0;1;0;0;0;0;83;172;28;0hk0wyk9@esprit.com;1
34;27;1;3;2;118;10;10;22;308.593;95;0;1;0;0;0;0;83;172;28;56xrbw7o@esprit.com;1
14;18;1;3;2;155;12;14;21;308.593;95;0;1;2;1;0;0;95;196;25;2mm62wqu@esprit.com;8
28;27;1;4;2;225;26;9;18;308.593;95;0;1;1;0;0;2;69;169;24;mpgyzjhl@esprit.com;2
27;23;1;5;2;184;42;7;18;308.593;95;0;1;0;0;0;0;58;167;21;oar3d7wk@esprit.com;2
28;28;1;5;2;225;26;9;18;308.593;95;0;1;1;0;0;2;69;169;24;ka1c9df5@esprit.com;2
28;27;1;6;2;225;26;9;18;308.593;95;0;1;1;0;0;2;69;169;24;amqv0jnz@esprit.com;1
34;27;1;2;2;118;10;10;22;308.593;95;0;1;0;0;0;0;83;172;28;sjwzvpzb@esprit.com;2
28;27;1;3;2;225;26;9;18;308.593;95;0;1;1;0;0;2;69;169;24;879tuzoz@esprit.com;2
34;27;1;3;2;118;10;10;22;308.593;95;0;1;0;0;0;0;83;172;28;crb4j724@esprit.com;2
34;27;1;4;2;118;10;10;22;308.593;95;0;1;0;0;0;0;83;172;28;pvxlxqci@esprit.com;2
34;27;1;5;2;118;10;10;22;308.593;95;0;1;0;0;0;0;83;172;28;ncg9wozv@esprit.com;2
34;27;1;6;2;118;10;10;22;308.593;95;0;1;0;0;0;0;83;172;28;5sydhfzo@esprit.com;2
34;27;1;2;2;118;10;10;22;308.593;95;0;1;0;0;0;0;83;172;28;vyhpwhx5@esprit.com;2
34;27;1;3;2;118;10;10;22;308.593;95;0;1;0;0;0;0;83;172;28;6u5pdbok@esprit.com;2
22;18;1;3;2;179;26;9;19;308.593;95;0;3;0;0;0;0;56;171;19;vob4vg86@esprit.com;8
11;18;1;3;2;289;36;13;20;308.593;95;0;1;2;1;0;1;90;172;30;dh0bf7a5@esprit.com;8
34;27;1;4;2;118;10;10;22;308.593;95;0;1;0;0;0;0;83;172;28;sgjeecw9@esprit.com;2
27;23;1;5;2;184;42;7;18;308.593;95;0;1;0;0;0;0;58;167;21;vq856z6i@esprit.com;2
34;27;1;5;2;118;10;10;22;308.593;95;0;1;0;0;0;0;83;172;28;fkksgo38@esprit.com;2
34;27;1;2;2;118;10;10;22;308.593;95;0;1;0;0;0;0;83;172;28;njt8iums@esprit.com;0
28;23;1;3;2;225;26;9;18;308.593;95;0;1;1;0;0;2;69;169;24;1na7te4r@esprit.com;1
11;22;1;5;2;289;36;13;20;308.593;95;0;1;2;1;0;1;90;172;30;p5pcvyd7@esprit.com;3
27;23;2;6;2;184;42;7;18;302.585;99;0;1;0;0;0;0;58;167;21;b5tsf3v9@esprit.com;1
24;1;2;4;2;246;25;16;24;302.585;99;0;1;0;1;0;0;67;170;23;c8pgsaf1@esprit.com;8
3;11;2;4;2;179;51;18;23;302.585;99;0;1;0;1;0;0;89;170;31;rbwq2mnb@esprit.com;8
14;28;2;5;2;155;12;14;21;302.585;99;0;1;2;1;0;0;95;196;25;4w6slnxc@esprit.com;2
6;23;2;5;2;189;29;13;20;302.585;99;0;1;2;0;0;2;69;167;25;kx8xttc0@esprit.com;8
20;28;2;6;2;260;50;11;22;302.585;99;0;1;4;1;0;0;65;168;23;5dz79zza@esprit.com;2
11;22;2;6;2;289;36;13;20;302.585;99;0;1;2;1;0;1;90;172;30;fi8em6zj@esprit.com;8
31;11;2;2;2;388;15;9;29;302.585;99;0;1;0;0;0;0;76;178;24;v0ffchiq@esprit.com;8
31;1;2;3;2;388;15;9;29;302.585;99;0;1;0;0;0;0;76;178;24;vc15fada@esprit.com;8
28;28;2;2;2;225;26;9;18;302.585;99;0;1;1;0;0;2;69;169;24;tkupj2ei@esprit.com;2
28;23;2;3;2;225;26;9;18;302.585;99;0;1;1;0;0;2;69;169;24;h6wat6tb@esprit.com;2
22;23;2;3;2;179;26;9;19;302.585;99;0;3;0;0;0;0;56;171;19;3846a5xx@esprit.com;1
27;23;2;3;2;184;42;7;18;302.585;99;0;1;0;0;0;0;58;167;21;9n069xnh@esprit.com;8
28;25;2;5;2;225;26;9;18;302.585;99;0;1;1;0;0;2;69;169;24;nifoqdfa@esprit.com;3
18;18;2;2;2;330;16;4;18;302.585;99;0;2;0;0;0;0;84;182;25;ifo30hfr@esprit.com;8
18;23;2;3;2;330;16;4;18;302.585;99;0;2;0;0;0;0;84;182;25;z70v5186@esprit.com;1
28;23;2;4;2;225;26;9;18;302.585;99;0;1;1;0;0;2;69;169;24;6liv71zr@esprit.com;1
6;19;2;5;2;189;29;13;20;302.585;99;0;1;2;0;0;2;69;167;25;9emg4sgv@esprit.com;8
19;28;3;3;2;291;50;12;20;343.253;95;0;1;0;1;0;0;65;169;23;jski421q@esprit.com;2
20;19;3;3;2;260;50;11;22;343.253;95;0;1;4;1;0;0;65;168;23;8lvl0bek@esprit.com;8
30;19;3;3;2;157;27;6;18;343.253;95;0;1;0;1;1;0;75;185;22;eu59hthf@esprit.com;3
17;17;3;3;2;179;22;17;24;343.253;95;0;2;2;0;1;0;63;170;22;dh1zh7yr@esprit.com;8
15;22;3;4;2;291;31;12;24;343.253;95;0;1;1;1;0;1;73;171;25;labyyspn@esprit.com;8
20;13;3;4;2;260;50;11;22;343.253;95;0;1;4;1;0;0;65;168;23;41o28jpp@esprit.com;8
22;13;3;5;2;179;26;9;19;343.253;95;0;3;0;0;0;0;56;171;19;uqseh9l5@esprit.com;8
33;14;3;6;2;248;25;14;27;343.253;95;0;1;2;0;0;1;86;165;32;a3plx8se@esprit.com;3
20;13;3;6;2;260;50;11;22;343.253;95;0;1;4;1;0;0;65;168;23;mkj63eto@esprit.com;40
17;11;3;2;2;179;22;17;24;343.253;95;0;2;2;0;1;0;63;170;22;2jvapri7@esprit.com;40
14;1;3;2;2;155;12;14;21;343.253;95;0;1;2;1;0;0;95;196;25;pyoswn1h@esprit.com;16
20;26;3;2;2;260;50;11;22;343.253;95;0;1;4;1;0;0;65;168;23;itf5arn1@esprit.com;16
14;13;3;3;2;155;12;14;21;343.253;95;0;1;2;1;0;0;95;196;25;myicrtbs@esprit.com;8
11;6;3;5;2;289;36;13;20;343.253;95;0;1;2;1;0;1;90;172;30;14t9w5ce@esprit.com;8
17;8;3;5;2;179;22;17;24;343.253;95;0;2;2;0;1;0;63;170;22;qluvmz8s@esprit.com;8
20;28;3;6;2;260;50;11;22;343.253;95;0;1;4;1;0;0;65;168;23;0jjeurnq@esprit.com;4
28;23;3;6;2;225;26;9;18;343.253;95;0;1;1;0;0;2;69;169;24;it5rytsz@esprit.com;1
7;14;3;2;2;279;5;14;23;343.253;95;0;1;2;1;1;0;68;168;24;i4xfwobe@esprit.com;8
3;13;3;3;2;179;51;18;23;343.253;95;0;1;0;1;0;0;89;170;31;5477newc@esprit.com;24
28;23;3;4;2;225;26;9;18;343.253;95;0;1;1;0;0;2;69;169;24;v4rr1ryl@esprit.com;2
28;11;3;2;3;225;26;9;18;343.253;95;0;1;1;0;0;2;69;169;24;3mumy513@esprit.com;8
22;13;3;2;3;179;26;9;19;343.253;95;0;3;0;0;0;0;56;171;19;tr7xtfr9@esprit.com;1
28;11;3;3;3;225;26;9;18;343.253;95;0;1;1;0;0;2;69;169;24;bpy3a07m@esprit.com;8
28;11;3;4;3;225;26;9;18;343.253;95;0;1;1;0;0;2;69;169;24;qpjqa9yc@esprit.com;16
3;13;3;4;3;179;51;18;23;343.253;95;0;1;0;1;0;0;89;170;31;xkdvw0d1@esprit.com;3
7;14;3;5;3;279;5;14;23;343.253;95;0;1;2;1;1;0;68;168;24;36eyakx4@esprit.com;16
28;28;3;6;3;225;26;9;18;343.253;95;0;1;1;0;0;2;69;169;24;yw52e2gs@esprit.com;2
33;14;3;6;3;248;25;14;27;343.253;95;0;1;2;0;0;1;86;165;32;8xm4bt1m@esprit.com;3
28;28;3;2;3;225;26;9;18;343.253;95;0;1;1;0;0;2;69;169;24;6ligiwbm@esprit.com;1
15;28;4;4;3;291;31;12;24;326.452;96;0;1;1;1;0;1;73;171;25;j849ow8v@esprit.com;1
28;23;4;4;3;225;26;9;18;326.452;96;0;1;1;0;0;2;69;169;24;zt8jxr5n@esprit.com;1
14;28;4;3;3;155;12;14;21;326.452;96;0;1;2;1;0;0;95;196;25;tighl98v@esprit.com;1
24;13;4;4;3;246;25;16;24;326.452;96;0;1;0;1;0;0;67;170;23;2070uk2h@esprit.com;24
14;23;4;5;3;155;12;14;21;326.452;96;0;1;2;1;0;0;95;196;25;hmzsxzvc@esprit.com;1
28;28;4;6;3;225;26;9;18;326.452;96;0;1;1;0;0;2;69;169;24;4e2qrqd2@esprit.com;2
20;28;4;6;3;260;50;11;22;326.452;96;0;1;4;1;0;0;65;168;23;pv1tkfes@esprit.com;4
3;13;4;4;3;179;51;18;23;326.452;96;0;1;0;1;0;0;89;170;31;8iv18vt2@esprit.com;24
36;23;4;5;3;118;13;18;29;326.452;96;0;1;1;1;0;0;98;178;31;clvug31p@esprit.com;1
15;23;4;6;3;291;31;12;24;326.452;96;0;1;1;1;0;1;73;171;25;qu42d8l1@esprit.com;3
24;14;4;6;3;246;25;16;24;326.452;96;0;1;0;1;0;0;67;170;23;zvnwl8aa@esprit.com;8
15;28;4;6;3;291;31;12;24;326.452;96;0;1;1;1;0;1;73;171;25;nqicfx5j@esprit.com;1
33;28;4;6;3;248;25;14;27;326.452;96;0;1;2;0;0;1;86;165;32;2she9xq9@esprit.com;8
20;19;4;6;3;260;50;11;22;326.452;96;0;1;4;1;0;0;65;168;23;7ej2gckq@esprit.com;56
11;19;4;3;3;289;36;13;20;326.452;96;0;1;2;1;0;1;90;172;30;53rvzosf@esprit.com;8
14;12;4;4;3;155;12;14;21;326.452;96;0;1;2;1;0;0;95;196;25;pbh7cuex@esprit.com;24
23;19;4;4;3;378;49;11;22;326.452;96;0;1;2;0;1;4;65;174;21;0cajnaqf@esprit.com;8
11;13;4;5;3;289;36;13;20;326.452;96;0;1;2;1;0;1;90;172;30;vc3deff5@esprit.com;16
1;7;4;6;3;235;11;14;22;326.452;96;0;3;1;0;0;1;88;172;29;gzbwqm3h@esprit.com;3
2;0;4;2;3;235;29;12;28;326.452;96;1;1;1;0;1;5;88;163;33;4629riyw@esprit.com;0
11;13;5;4;3;289;36;13;20;378.884;92;0;1;2;1;0;1;90;172;30;enpmhbax@esprit.com;8
14;28;5;5;3;155;12;14;21;378.884;92;0;1;2;1;0;0;95;196;25;8wmveftb@esprit.com;2
14;28;5;2;3;155;12;14;21;378.884;92;0;1;2;1;0;0;95;196;25;kr8oj6mr@esprit.com;1
3;18;5;3;3;179;51;18;23;378.884;92;0;1;0;1;0;0;89;170;31;ql5zw19y@esprit.com;8
28;19;5;3;3;225;26;9;18;378.884;92;0;1;1;0;0;2;69;169;24;rp1ix2mi@esprit.com;8
27;7;5;4;3;184;42;7;18;378.884;92;0;1;0;0;0;0;58;167;21;19wois4s@esprit.com;4
14;28;5;2;3;155;12;14;21;378.884;92;0;1;2;1;0;0;95;196;25;twlz7unj@esprit.com;2
3;12;5;3;3;179;51;18;23;378.884;92;0;1;0;1;0;0;89;170;31;6nxgp32s@esprit.com;1
11;13;5;4;3;289;36;13;20;378.884;92;0;1;2;1;0;1;90;172;30;7eazylfp@esprit.com;24
7;0;5;4;3;279;5;14;23;378.884;92;1;1;2;1;1;0;68;168;24;jei6j9b0@esprit.com;0
18;0;5;4;3;330;16;4;18;378.884;92;1;2;0;0;0;0;84;182;25;6tj89uhx@esprit.com;0
23;0;5;4;3;378;49;11;22;378.884;92;1;1;2;0;1;4;65;174;21;vxz1rp39@esprit.com;0
31;0;5;4;3;388;15;9;29;378.884;92;1;1;0;0;0;0;76;178;24;2wahu489@esprit.com;0
3;11;5;3;3;179;51;18;23;378.884;92;0;1;0;1;0;0;89;170;31;7hs27wyf@esprit.com;1
36;13;5;4;3;118;13;18;29;378.884;92;0;1;1;1;0;0;98;178;31;kni3ugb2@esprit.com;24
10;22;5;6;3;361;52;3;18;378.884;92;0;1;1;1;0;4;80;172;27;2i21g0el@esprit.com;8
24;19;6;2;3;246;25;16;24;377.55;94;0;1;0;1;0;0;67;170;23;czcb6aa4@esprit.com;8
10;22;6;2;3;361;52;3;18;377.55;94;0;1;1;1;0;4;80;172;27;bshft7mj@esprit.com;8
24;10;6;3;3;246;25;16;24;377.55;94;0;1;0;1;0;0;67;170;23;71gjnarb@esprit.com;24
15;23;6;5;3;291;31;12;24;377.55;94;0;1;1;1;0;1;73;171;25;higwl8rz@esprit.com;4
24;10;6;6;3;246;25;16;24;377.55;94;0;1;0;1;0;0;67;170;23;vsamm6w2@esprit.com;8
3;11;6;2;3;179;51;18;23;377.55;94;0;1;0;1;0;0;89;170;31;2ywdbth1@esprit.com;8
14;23;6;2;3;155;12;14;21;377.55;94;0;1;2;1;0;0;95;196;25;z9jsrggm@esprit.com;4
24;10;6;2;3;246;25;16;24;377.55;94;0;1;0;1;0;0;67;170;23;a4b9oevu@esprit.com;8
36;13;6;4;3;118;13;18;29;377.55;94;0;1;1;1;0;0;98;178;31;p03z2fyr@esprit.com;8
1;13;6;6;3;235;11;14;22;377.55;94;0;3;1;0;0;1;88;172;29;zkhxikne@esprit.com;16
36;23;6;3;3;118;13;18;29;377.55;94;0;1;1;1;0;0;98;178;31;p1na2slc@esprit.com;1
36;13;6;4;3;118;13;18;29;377.55;94;0;1;1;1;0;0;98;178;31;q4l3qew0@esprit.com;80
23;22;6;5;3;378;49;11;22;377.55;94;0;1;2;0;1;4;65;174;21;fa257mzs@esprit.com;8
3;11;6;6;3;179;51;18;23;377.55;94;0;1;0;1;0;0;89;170;31;uof2mc1h@esprit.com;2
32;28;6;2;1;289;48;29;28;377.55;94;0;1;0;0;0;2;108;172;36;l9bd2ebt@esprit.com;2
28;28;6;5;1;225;26;9;18;377.55;94;0;1;1;0;0;2;69;169;24;tsw72pj6@esprit.com;2
14;19;7;3;1;155;12;14;21;275.312;98;0;1;2;1;0;0;95;196;25;45hielp6@esprit.com;16
36;1;7;4;1;118;13;18;29;275.312;98;0;1;1;1;0;0;98;178;31;y26g0yhi@esprit.com;8
